PIGMENT ID;LABLE PICTURE;BOTTLE PICTURE;ARCHIVE ID;SPECIFIC NAME; DESCRIPTION;COLOR;SHADE;STOPPER;GEOGRAPHICAL ORGINS;DATE  OF PRODUCTION;CHEMICAL COMPOSITION;PHISICAL PROPERTIES;DESCRIPTION FOR ARCHIVE SITE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;TCO 50:1 Plume;Purple;Purple;Medium;Cork;England;July 1933;TCO (Tetrazine-Cycloaddition);Powder;Glass jar with a cork stopper with a sticker containing purple pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;;;Crystalime high temp. ?;Bright Purple;Purple;Medium;Glass;;January 1932;SnO2 ;Fragments;Small glass jar with a glass stopper containing purple pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;;;CaO MgO SnO2 (No name);Light Blue;Blue;Light;Cork;;;CaO MgO SnO2;Fragments;Big glass jar with a cork  stopper containing blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;Chromium aluminium 1:10;Mauve Pink;Pink;Medium;Cork;;;Cr Al;Powder;Glass jar with a cork stopper containing pink pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;;;;Red Ultramarine; Bright Purple;Purple;Medium;Glass;;;;Powder;Glass jar with a glass lid containing purple pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;;;;(CoMg) SnO4 (No name);Bright Blue;Blue;Medium;Cork;England;18… Sticker on the lid;(CoMg) SnO4;Powder;Big glass jar with a cork stopper with a sticker containing blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;Barium Copper Silicate Stronzium;Light Blue;Blue;Medium;Cork;;;BaCuSiSr ?;Powder;Big glass jar with a cork stopper containing  blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;;;;FeAlZnO4 (No name);Mustard yellow;Yellow;Medium;Cork and paper;;;FeAlZnO4;Powder;Glass jar with a cork stopper and some papercontaining yellow pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;;; [M51-1994];Purple madder;Pinkish Purple;Purple;Medium;Glass;England;;;Dried pigment;Glass jar with a glass lid containing purple pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;VI …? PAUL;Light Pink;Pink;Light;Wood and paper;;January 1958;AlO3 + CrO3 + 2g WH4F;Fragments;Glass jar with a wood and paper lid containing pink pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
